	指标	地区	年	数据	行业	行业指标
6356	其他城镇单位就业人员工资总额	河南省	2012	1475.02472	其他	人员工资总额
6357	其他城镇单位就业人员工资总额	河南省	2011	1244.01569	其他	人员工资总额
6358	其他城镇单位就业人员工资总额	河南省	2010	896.6	其他	人员工资总额
6359	其他城镇单位就业人员工资总额	河南省	2009	786.03534	其他	人员工资总额
6360	其他城镇单位就业人员工资总额	湖北省	2018		其他	人员工资总额
6361	其他城镇单位就业人员工资总额	湖北省	2017	2467.89233	其他	人员工资总额
6362	其他城镇单位就业人员工资总额	湖北省	2016	2353.54878	其他	人员工资总额
6363	其他城镇单位就业人员工资总额	湖北省	2015	2160.66842	其他	人员工资总额
6364	其他城镇单位就业人员工资总额	湖北省	2014	1992.0062100000002	其他	人员工资总额
6365	其他城镇单位就业人员工资总额	湖北省	2013	1767.6009	其他	人员工资总额
6366	其他城镇单位就业人员工资总额	湖北省	2012	1049.47325	其他	人员工资总额
6367	其他城镇单位就业人员工资总额	湖北省	2011	903.7098699999999	其他	人员工资总额
6368	其他城镇单位就业人员工资总额	湖北省	2010	581.0	其他	人员工资总额
6369	其他城镇单位就业人员工资总额	湖北省	2009	419.29035	其他	人员工资总额
6370	其他城镇单位就业人员工资总额	湖南省	2018		其他	人员工资总额
6371	其他城镇单位就业人员工资总额	湖南省	2017	1775.2895600000002	其他	人员工资总额
6372	其他城镇单位就业人员工资总额	湖南省	2016	1634.15904	其他	人员工资总额
6373	其他城镇单位就业人员工资总额	湖南省	2015	1581.2201699999998	其他	人员工资总额
6374	其他城镇单位就业人员工资总额	湖南省	2014	1457.0637800000002	其他	人员工资总额
6375	其他城镇单位就业人员工资总额	湖南省	2013	1277.87206	其他	人员工资总额
6376	其他城镇单位就业人员工资总额	湖南省	2012	973.99452	其他	人员工资总额
6377	其他城镇单位就业人员工资总额	湖南省	2011	826.2478	其他	人员工资总额
6378	其他城镇单位就业人员工资总额	湖南省	2010	556.4	其他	人员工资总额
6379	其他城镇单位就业人员工资总额	湖南省	2009	445.20754000000005	其他	人员工资总额
6380	其他城镇单位就业人员工资总额	广东省	2018		其他	人员工资总额
6381	其他城镇单位就业人员工资总额	广东省	2017	11519.254570000001	其他	人员工资总额
6382	其他城镇单位就业人员工资总额	广东省	2016	10607.49351	其他	人员工资总额
6383	其他城镇单位就业人员工资总额	广东省	2015	9715.14451	其他	人员工资总额
6384	其他城镇单位就业人员工资总额	广东省	2014	8821.00745	其他	人员工资总额
6385	其他城镇单位就业人员工资总额	广东省	2013	7789.00727	其他	人员工资总额
6386	其他城镇单位就业人员工资总额	广东省	2012	3843.78249	其他	人员工资总额
6387	其他城镇单位就业人员工资总额	广东省	2011	3147.9889399999997	其他	人员工资总额
6388	其他城镇单位就业人员工资总额	广东省	2010	2404.1	其他	人员工资总额
6389	其他城镇单位就业人员工资总额	广东省	2009	1964.56403	其他	人员工资总额
6390	其他城镇单位就业人员工资总额	广西壮族自治区	2018		其他	人员工资总额
6391	其他城镇单位就业人员工资总额	广西壮族自治区	2017	1026.963	其他	人员工资总额
6392	其他城镇单位就业人员工资总额	广西壮族自治区	2016	950.6437400000001	其他	人员工资总额
6393	其他城镇单位就业人员工资总额	广西壮族自治区	2015	913.60011	其他	人员工资总额
6394	其他城镇单位就业人员工资总额	广西壮族自治区	2014	800.10788	其他	人员工资总额
6395	其他城镇单位就业人员工资总额	广西壮族自治区	2013	702.50657	其他	人员工资总额
6396	其他城镇单位就业人员工资总额	广西壮族自治区	2012	435.39383	其他	人员工资总额
6397	其他城镇单位就业人员工资总额	广西壮族自治区	2011	344.21531	其他	人员工资总额
6398	其他城镇单位就业人员工资总额	广西壮族自治区	2010	258.0	其他	人员工资总额
6399	其他城镇单位就业人员工资总额	广西壮族自治区	2009	205.81075	其他	人员工资总额
6400	其他城镇单位就业人员工资总额	海南省	2018		其他	人员工资总额
6401	其他城镇单位就业人员工资总额	海南省	2017	354.12108	其他	人员工资总额
6402	其他城镇单位就业人员工资总额	海南省	2016	313.08688	其他	人员工资总额
6403	其他城镇单位就业人员工资总额	海南省	2015	295.01056	其他	人员工资总额
6404	其他城镇单位就业人员工资总额	海南省	2014	265.46002999999996	其他	人员工资总额
6405	其他城镇单位就业人员工资总额	海南省	2013	218.42756	其他	人员工资总额
6406	其他城镇单位就业人员工资总额	海南省	2012	124.62659	其他	人员工资总额
6407	其他城镇单位就业人员工资总额	海南省	2011	97.75626	其他	人员工资总额
6408	其他城镇单位就业人员工资总额	海南省	2010	72.9	其他	人员工资总额
6409	其他城镇单位就业人员工资总额	海南省	2009	58.574569999999994	其他	人员工资总额
6410	其他城镇单位就业人员工资总额	重庆市	2018		其他	人员工资总额
6411	其他城镇单位就业人员工资总额	重庆市	2017	1734.34455	其他	人员工资总额
6412	其他城镇单位就业人员工资总额	重庆市	2016	1680.97805	其他	人员工资总额
6413	其他城镇单位就业人员工资总额	重庆市	2015	1595.44464	其他	人员工资总额
6414	其他城镇单位就业人员工资总额	重庆市	2014	1469.7173	其他	人员工资总额
6415	其他城镇单位就业人员工资总额	重庆市	2013	1262.46597	其他	人员工资总额
6416	其他城镇单位就业人员工资总额	重庆市	2012	862.6034699999999	其他	人员工资总额
6417	其他城镇单位就业人员工资总额	重庆市	2011	703.0258	其他	人员工资总额
6418	其他城镇单位就业人员工资总额	重庆市	2010	416.3	其他	人员工资总额
6419	其他城镇单位就业人员工资总额	重庆市	2009	327.28668	其他	人员工资总额
6420	其他城镇单位就业人员工资总额	四川省	2018		其他	人员工资总额
6421	其他城镇单位就业人员工资总额	四川省	2017	2542.5735	其他	人员工资总额
6422	其他城镇单位就业人员工资总额	四川省	2016	2354.08402	其他	人员工资总额
6423	其他城镇单位就业人员工资总额	四川省	2015	2256.74377	其他	人员工资总额
6424	其他城镇单位就业人员工资总额	四川省	2014	2102.88961	其他	人员工资总额
6425	其他城镇单位就业人员工资总额	四川省	2013	1967.9706399999998	其他	人员工资总额
6426	其他城镇单位就业人员工资总额	四川省	2012	883.0210400000001	其他	人员工资总额
6427	其他城镇单位就业人员工资总额	四川省	2011	725.8355799999999	其他	人员工资总额
6428	其他城镇单位就业人员工资总额	四川省	2010	535.3	其他	人员工资总额
6429	其他城镇单位就业人员工资总额	四川省	2009	440.97578	其他	人员工资总额
6430	其他城镇单位就业人员工资总额	贵州省	2018		其他	人员工资总额
6431	其他城镇单位就业人员工资总额	贵州省	2017	879.45155	其他	人员工资总额
6432	其他城镇单位就业人员工资总额	贵州省	2016	759.49598	其他	人员工资总额
6433	其他城镇单位就业人员工资总额	贵州省	2015	692.22236	其他	人员工资总额
6434	其他城镇单位就业人员工资总额	贵州省	2014	651.31844	其他	人员工资总额
6435	其他城镇单位就业人员工资总额	贵州省	2013	548.95477	其他	人员工资总额
6436	其他城镇单位就业人员工资总额	贵州省	2012	312.12156	其他	人员工资总额
6437	其他城镇单位就业人员工资总额	贵州省	2011	205.82224	其他	人员工资总额
6438	其他城镇单位就业人员工资总额	贵州省	2010	168.8	其他	人员工资总额
6439	其他城镇单位就业人员工资总额	贵州省	2009	145.12743999999998	其他	人员工资总额
6440	其他城镇单位就业人员工资总额	云南省	2018		其他	人员工资总额
6441	其他城镇单位就业人员工资总额	云南省	2017	1166.34624	其他	人员工资总额
6442	其他城镇单位就业人员工资总额	云南省	2016	1042.71313	其他	人员工资总额
6443	其他城镇单位就业人员工资总额	云南省	2015	965.8122699999999	其他	人员工资总额
6444	其他城镇单位就业人员工资总额	云南省	2014	874.50682	其他	人员工资总额
6445	其他城镇单位就业人员工资总额	云南省	2013	863.83142	其他	人员工资总额
6446	其他城镇单位就业人员工资总额	云南省	2012	568.63305	其他	人员工资总额
6447	其他城镇单位就业人员工资总额	云南省	2011	402.17505	其他	人员工资总额
6448	其他城镇单位就业人员工资总额	云南省	2010	273.7	其他	人员工资总额
6449	其他城镇单位就业人员工资总额	云南省	2009	231.01307999999997	其他	人员工资总额
6450	其他城镇单位就业人员工资总额	西藏自治区	2018		其他	人员工资总额
6451	其他城镇单位就业人员工资总额	西藏自治区	2017	39.56729	其他	人员工资总额
6452	其他城镇单位就业人员工资总额	西藏自治区	2016	32.9012	其他	人员工资总额
6453	其他城镇单位就业人员工资总额	西藏自治区	2015	35.72399	其他	人员工资总额
6454	其他城镇单位就业人员工资总额	西藏自治区	2014	32.51015	其他	人员工资总额
6455	其他城镇单位就业人员工资总额	西藏自治区	2013	18.72718	其他	人员工资总额
6456	其他城镇单位就业人员工资总额	西藏自治区	2012	2.69884	其他	人员工资总额
6457	其他城镇单位就业人员工资总额	西藏自治区	2011	3.67043	其他	人员工资总额
6458	其他城镇单位就业人员工资总额	西藏自治区	2010	3.1	其他	人员工资总额
6459	其他城镇单位就业人员工资总额	西藏自治区	2009	2.6122	其他	人员工资总额
6460	其他城镇单位就业人员工资总额	陕西省	2018		其他	人员工资总额
6461	其他城镇单位就业人员工资总额	陕西省	2017	1667.53142	其他	人员工资总额
6462	其他城镇单位就业人员工资总额	陕西省	2016	1511.72258	其他	人员工资总额
6463	其他城镇单位就业人员工资总额	陕西省	2015	1420.12349	其他	人员工资总额
6464	其他城镇单位就业人员工资总额	陕西省	2014	1306.1765599999999	其他	人员工资总额
6465	其他城镇单位就业人员工资总额	陕西省	2013	1174.03816	其他	人员工资总额
6466	其他城镇单位就业人员工资总额	陕西省	2012	494.35804	其他	人员工资总额
6467	其他城镇单位就业人员工资总额	陕西省	2011	407.2424	其他	人员工资总额
6468	其他城镇单位就业人员工资总额	陕西省	2010	304.3	其他	人员工资总额
6469	其他城镇单位就业人员工资总额	陕西省	2009	247.76176	其他	人员工资总额
6470	其他城镇单位就业人员工资总额	甘肃省	2018		其他	人员工资总额
6471	其他城镇单位就业人员工资总额	甘肃省	2017	511.45766	其他	人员工资总额
6472	其他城镇单位就业人员工资总额	甘肃省	2016	476.36245999999994	其他	人员工资总额
6473	其他城镇单位就业人员工资总额	甘肃省	2015	460.05217999999996	其他	人员工资总额
6474	其他城镇单位就业人员工资总额	甘肃省	2014	446.84824000000003	其他	人员工资总额
6475	其他城镇单位就业人员工资总额	甘肃省	2013	398.3288	其他	人员工资总额
6476	其他城镇单位就业人员工资总额	甘肃省	2012	163.73891	其他	人员工资总额
6477	其他城镇单位就业人员工资总额	甘肃省	2011	133.36319	其他	人员工资总额
6478	其他城镇单位就业人员工资总额	甘肃省	2010	109.1	其他	人员工资总额
6479	其他城镇单位就业人员工资总额	甘肃省	2009	90.8679	其他	人员工资总额
6480	其他城镇单位就业人员工资总额	青海省	2018		其他	人员工资总额
6481	其他城镇单位就业人员工资总额	青海省	2017	176.43896999999998	其他	人员工资总额
6482	其他城镇单位就业人员工资总额	青海省	2016	157.99412	其他	人员工资总额
6483	其他城镇单位就业人员工资总额	青海省	2015	153.70713	其他	人员工资总额
6484	其他城镇单位就业人员工资总额	青海省	2014	147.98078	其他	人员工资总额
6485	其他城镇单位就业人员工资总额	青海省	2013	135.19616000000002	其他	人员工资总额
6486	其他城镇单位就业人员工资总额	青海省	2012	62.689080000000004	其他	人员工资总额
6487	其他城镇单位就业人员工资总额	青海省	2011	53.55424	其他	人员工资总额
6488	其他城镇单位就业人员工资总额	青海省	2010	30.7	其他	人员工资总额
6489	其他城镇单位就业人员工资总额	青海省	2009	23.92458	其他	人员工资总额
6490	其他城镇单位就业人员工资总额	宁夏回族自治区	2018		其他	人员工资总额
6491	其他城镇单位就业人员工资总额	宁夏回族自治区	2017	233.55392999999998	其他	人员工资总额
6492	其他城镇单位就业人员工资总额	宁夏回族自治区	2016	217.87604	其他	人员工资总额
6493	其他城镇单位就业人员工资总额	宁夏回族自治区	2015	219.60737999999998	其他	人员工资总额
6494	其他城镇单位就业人员工资总额	宁夏回族自治区	2014	210.35359	其他	人员工资总额
6495	其他城镇单位就业人员工资总额	宁夏回族自治区	2013	184.9677	其他	人员工资总额
6496	其他城镇单位就业人员工资总额	宁夏回族自治区	2012	139.15393	其他	人员工资总额
6497	其他城镇单位就业人员工资总额	宁夏回族自治区	2011	105.68185	其他	人员工资总额
6498	其他城镇单位就业人员工资总额	宁夏回族自治区	2010	90.8	其他	人员工资总额
6499	其他城镇单位就业人员工资总额	宁夏回族自治区	2009	74.77049	其他	人员工资总额
6500	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2018		其他	人员工资总额
6501	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2017	923.02589	其他	人员工资总额
6502	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2016	856.4500800000001	其他	人员工资总额
6503	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2015	863.40491	其他	人员工资总额
6504	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2014	825.35708	其他	人员工资总额
6505	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2013	728.78643	其他	人员工资总额
6506	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2012	505.85342	其他	人员工资总额
6507	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2011	400.34483	其他	人员工资总额
6508	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2010	262.4	其他	人员工资总额
6509	其他城镇单位就业人员工资总额	新疆维吾尔自治区	2009	215.73892999999998	其他	人员工资总额
6510	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2018		国有	人员工资总额指数(上年=100)
6511	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2017	113.3	国有	人员工资总额指数(上年=100)
6512	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2016	111.58968370000001	国有	人员工资总额指数(上年=100)
6513	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2015	109.01552369076599	国有	人员工资总额指数(上年=100)
6514	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2014	109.1	国有	人员工资总额指数(上年=100)
6515	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2013	109.0	国有	人员工资总额指数(上年=100)
6516	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2012	111.3	国有	人员工资总额指数(上年=100)
6517	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2011	115.502929077656	国有	人员工资总额指数(上年=100)
6518	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2010	113.3	国有	人员工资总额指数(上年=100)
6519	国有城镇单位就业人员工资总额指数(上年=100)	北京市	2009	105.6	国有	人员工资总额指数(上年=100)
6520	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2018		国有	人员工资总额指数(上年=100)
6521	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2017	109.6	国有	人员工资总额指数(上年=100)
6522	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2016	109.7672125	国有	人员工资总额指数(上年=100)
6523	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2015	106.963783782568	国有	人员工资总额指数(上年=100)
6524	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2014	106.3	国有	人员工资总额指数(上年=100)
6525	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2013	97.9	国有	人员工资总额指数(上年=100)
6526	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2012	110.0	国有	人员工资总额指数(上年=100)
6527	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2011	120.91283718573	国有	人员工资总额指数(上年=100)
6528	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2010	117.1	国有	人员工资总额指数(上年=100)
6529	国有城镇单位就业人员工资总额指数(上年=100)	天津市	2009	103.8	国有	人员工资总额指数(上年=100)
6530	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2018		国有	人员工资总额指数(上年=100)
6531	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2017	108.3	国有	人员工资总额指数(上年=100)
6532	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2016	110.37572409999999	国有	人员工资总额指数(上年=100)
6533	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2015	119.574651956588	国有	人员工资总额指数(上年=100)
6534	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2014	107.4	国有	人员工资总额指数(上年=100)
6535	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2013	91.2	国有	人员工资总额指数(上年=100)
6536	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2012	112.4	国有	人员工资总额指数(上年=100)
6537	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2011	109.339529722269	国有	人员工资总额指数(上年=100)
6538	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2010	111.1	国有	人员工资总额指数(上年=100)
6539	国有城镇单位就业人员工资总额指数(上年=100)	河北省	2009	112.0	国有	人员工资总额指数(上年=100)
6540	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2018		国有	人员工资总额指数(上年=100)
6541	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2017	108.6	国有	人员工资总额指数(上年=100)
6542	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2016	105.1936587	国有	人员工资总额指数(上年=100)
6543	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2015	115.03485487393999	国有	人员工资总额指数(上年=100)
6544	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2014	106.5	国有	人员工资总额指数(上年=100)
6545	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2013	90.8	国有	人员工资总额指数(上年=100)
6546	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2012	109.9	国有	人员工资总额指数(上年=100)
6547	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2011	115.126048825388	国有	人员工资总额指数(上年=100)
6548	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2010	109.2	国有	人员工资总额指数(上年=100)
6549	国有城镇单位就业人员工资总额指数(上年=100)	山西省	2009	105.5	国有	人员工资总额指数(上年=100)
6550	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2018		国有	人员工资总额指数(上年=100)
6551	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2017	104.0	国有	人员工资总额指数(上年=100)
6552	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2016	107.36075500000001	国有	人员工资总额指数(上年=100)
6553	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2015	109.140332554964	国有	人员工资总额指数(上年=100)
6554	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2014	102.7	国有	人员工资总额指数(上年=100)
6555	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2013	105.6	国有	人员工资总额指数(上年=100)
6556	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2012	114.3	国有	人员工资总额指数(上年=100)
6557	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2011	121.04409982323	国有	人员工资总额指数(上年=100)
6558	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2010	117.3	国有	人员工资总额指数(上年=100)
6559	国有城镇单位就业人员工资总额指数(上年=100)	内蒙古自治区	2009	121.2	国有	人员工资总额指数(上年=100)
6560	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2018		国有	人员工资总额指数(上年=100)
6561	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2017	99.5	国有	人员工资总额指数(上年=100)
6562	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2016	100.1093594	国有	人员工资总额指数(上年=100)
6563	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2015	107.852258213879	国有	人员工资总额指数(上年=100)
6564	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2014	104.1	国有	人员工资总额指数(上年=100)
6565	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2013	99.2	国有	人员工资总额指数(上年=100)
6566	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2012	111.6	国有	人员工资总额指数(上年=100)
6567	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2011	120.09346493907199	国有	人员工资总额指数(上年=100)
6568	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2010	111.7	国有	人员工资总额指数(上年=100)
6569	国有城镇单位就业人员工资总额指数(上年=100)	辽宁省	2009	102.7	国有	人员工资总额指数(上年=100)
6570	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2018		国有	人员工资总额指数(上年=100)
6571	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2017	107.3	国有	人员工资总额指数(上年=100)
6572	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2016	109.2553591	国有	人员工资总额指数(上年=100)
6573	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2015	110.765179575958	国有	人员工资总额指数(上年=100)
6574	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2014	105.7	国有	人员工资总额指数(上年=100)
6575	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2013	118.2	国有	人员工资总额指数(上年=100)
6576	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2012	114.9	国有	人员工资总额指数(上年=100)
6577	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2011	116.77788907265301	国有	人员工资总额指数(上年=100)
6578	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2010	111.8	国有	人员工资总额指数(上年=100)
6579	国有城镇单位就业人员工资总额指数(上年=100)	吉林省	2009	108.4	国有	人员工资总额指数(上年=100)
6580	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2018		国有	人员工资总额指数(上年=100)
6581	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2017	104.2	国有	人员工资总额指数(上年=100)
6582	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2016	105.153825	国有	人员工资总额指数(上年=100)
6583	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2015	111.105951450347	国有	人员工资总额指数(上年=100)
6584	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2014	103.3	国有	人员工资总额指数(上年=100)
6585	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2013	94.2	国有	人员工资总额指数(上年=100)
6586	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2012	116.3	国有	人员工资总额指数(上年=100)
6587	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2011	112.16759146547899	国有	人员工资总额指数(上年=100)
6588	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2010	110.9	国有	人员工资总额指数(上年=100)
6589	国有城镇单位就业人员工资总额指数(上年=100)	黑龙江省	2009	125.0	国有	人员工资总额指数(上年=100)
6590	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2018		国有	人员工资总额指数(上年=100)
6591	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2017	104.2	国有	人员工资总额指数(上年=100)
6592	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2016	105.1323541	国有	人员工资总额指数(上年=100)
6593	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2015	99.58731204266441	国有	人员工资总额指数(上年=100)
6594	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2014	102.0	国有	人员工资总额指数(上年=100)
6595	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2013	84.6	国有	人员工资总额指数(上年=100)
6596	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2012	105.1	国有	人员工资总额指数(上年=100)
6597	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2011	114.977443283908	国有	人员工资总额指数(上年=100)
6598	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2010	112.4	国有	人员工资总额指数(上年=100)
6599	国有城镇单位就业人员工资总额指数(上年=100)	上海市	2009	117.7	国有	人员工资总额指数(上年=100)
6600	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2018		国有	人员工资总额指数(上年=100)
6601	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2017	111.2	国有	人员工资总额指数(上年=100)
6602	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2016	110.2638332	国有	人员工资总额指数(上年=100)
6603	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2015	108.53389100633301	国有	人员工资总额指数(上年=100)
6604	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2014	109.2	国有	人员工资总额指数(上年=100)
6605	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2013	109.2	国有	人员工资总额指数(上年=100)
6606	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2012	112.2	国有	人员工资总额指数(上年=100)
6607	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2011	116.084724591287	国有	人员工资总额指数(上年=100)
6608	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2010	112.8	国有	人员工资总额指数(上年=100)
6609	国有城镇单位就业人员工资总额指数(上年=100)	江苏省	2009	115.7	国有	人员工资总额指数(上年=100)
6610	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2018		国有	人员工资总额指数(上年=100)
6611	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2017	112.6	国有	人员工资总额指数(上年=100)
6612	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2016	112.017946	国有	人员工资总额指数(上年=100)
6613	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2015	112.93723994856	国有	人员工资总额指数(上年=100)
6614	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2014	109.3	国有	人员工资总额指数(上年=100)
6615	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2013	104.7	国有	人员工资总额指数(上年=100)
6616	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2012	109.3	国有	人员工资总额指数(上年=100)
6617	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2011	113.109509984034	国有	人员工资总额指数(上年=100)
6618	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2010	113.2	国有	人员工资总额指数(上年=100)
6619	国有城镇单位就业人员工资总额指数(上年=100)	浙江省	2009	113.9	国有	人员工资总额指数(上年=100)
6620	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2018		国有	人员工资总额指数(上年=100)
6621	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2017	110.3	国有	人员工资总额指数(上年=100)
6622	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2016	110.54714240000001	国有	人员工资总额指数(上年=100)
6623	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2015	110.53264274088801	国有	人员工资总额指数(上年=100)
6624	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2014	107.6	国有	人员工资总额指数(上年=100)
6625	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2013	94.7	国有	人员工资总额指数(上年=100)
6626	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2012	118.7	国有	人员工资总额指数(上年=100)
6627	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2011	122.857215826782	国有	人员工资总额指数(上年=100)
6628	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2010	117.8	国有	人员工资总额指数(上年=100)
6629	国有城镇单位就业人员工资总额指数(上年=100)	安徽省	2009	114.2	国有	人员工资总额指数(上年=100)
6630	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2018		国有	人员工资总额指数(上年=100)
6631	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2017	114.0	国有	人员工资总额指数(上年=100)
6632	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2016	111.28281070000001	国有	人员工资总额指数(上年=100)
6633	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2015	110.42502609615299	国有	人员工资总额指数(上年=100)
6634	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2014	109.4	国有	人员工资总额指数(上年=100)
6635	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2013	101.2	国有	人员工资总额指数(上年=100)
6636	国有城镇单位就业人员工资总额指数(上年=100)	福建省	2012	118.5	国有	人员工资总额指数(上年=100)
